BLDG_A,BLDG_B,BLDG_C,BLDG_D,BLDG_E,BLDG_F,CENTRAL
1355.1,244.242,612.281,694.851,152.956,212.204,3271.64
1378.22,249.706,620.473,700.459,154.858,214.63,3318.35
1352.19,243.305,609.409,692.331,152.358,211.481,3261.08
1266.62,228.472,577.122,613.11,146.774,197.206,3029.31
1219.06,217.247,560.34,600.097,142.959,192.919,2932.63
1154.41,208.518,551.597,541.486,141.699,188.677,2786.38
1097.95,195.385,525.989,520.683,139.05,180.81,2659.87
973.158,167.304,469.176,473.144,127.794,161.291,2371.87
1085.89,186.069,522.57,529.848,139.531,179.575,2643.48
1117.16,184.064,534.866,556.799,139.853,184.463,2717.2
1023.85,163.955,489.128,502.881,128.408,166.662,2474.88
961.234,150.093,455.866,469.045,120.132,154.141,2310.51
944.646,146.778,446.832,460.404,118.289,150.969,2267.92
854.047,125.693,411.807,434.219,111.185,141.146,2078.1
665.552,74.035,333.391,403.02,93.5335,120.789,1690.32
757.739,97.4565,365.769,445.983,96.0429,130.911,1893.9
895.606,132.101,420.763,490.672,107.484,147.034,2193.66
951.433,145.65,442.258,508.339,112.252,153.005,2312.94
923.711,138.879,428.793,497.491,108.949,149.093,2246.92
977.341,148.073,448.338,553.5,111.639,158.955,2397.85
1060.96,168.919,483.74,578.799,119.709,170.091,2582.21
1172.16,195.598,530.289,617.526,130.405,184.966,2830.94
1328.39,229.306,603.141,691.633,147.059,210.56,3210.09
1456.78,256.109,661.54,751.838,160.082,230.874,3517.22
1525.88,271.352,691.464,780.406,166.908,240.868,3676.88
1533.38,274.654,692.216,776.916,167.462,240.334,3684.96
1601.07,290.271,720.676,804.543,174.596,249.729,3840.89
1643.59,305.729,742.638,762.696,182.25,251.798,3888.7
1852.62,352.187,835.199,847.822,204,282.541,4374.37
2003.98,388.407,919.643,874.4,223.679,307.715,4717.82
2017.1,388.491,921.104,877.067,225.419,307.659,4736.84
1987.47,379.853,901.718,864.041,221.377,299.932,4654.39
1990.3,378.148,901.386,869.555,220.903,299.61,4659.9
2079.82,393.952,936.973,915.94,228.102,311.852,4866.64
2404.2,465.828,1090.75,1048.6,264.046,363.612,5637.03
2571.1,499.736,1166,1120.57,280.384,388.622,6026.42
2833.1,552.106,1287.98,1240.4,307.143,430.52,6651.25
3087.09,599.955,1412.46,1368.7,334.515,474.956,7277.67
3150.24,597.246,1443.32,1442.85,339.002,489.98,7462.62
3441.81,659.678,1563.34,1594.96,362.327,530.886,8153
3838.46,740.944,1751.59,1767.28,400.19,596.268,9094.73
4251.46,820.593,1945.72,1944.03,440.303,663.111,10065.2
4167.61,794.82,1899.57,1901.68,425.617,645.967,9835.27
4208.53,787.207,1895.27,2050.19,416.87,653.687,10011.7
